normalize,normalise
normalized,normalised
normalization,normalisation
normalizations,normalisations
normalizing,normalising
analyze,analyse
analyzed,analysed
analyzing,analysing
color,colour
colored,coloured
coloring,colouring
colorful,colourful
colorless,colourless
favorite,favourite
flavor,flavour
flavored,flavoured
flavorful,flavourful
flavorless,flavourless
center,centre
centered,centred
traveler,traveller
traveled,travelled
traveling,travelling
fulfill,fulfil
fulfilled,fulfilled
fulfilling,fulfilling
defense,defence
defenses,defences
offense,offence
offenses,offences
realize,realise
realized,realised
realizing,realising
realization,realisation
